Map1,Map2,Shuffle2,Computation,Shuffle1,Reduce1,Split,Synchronization,Reduce2,Communication,Number of nodes,Amount of data (MB)
321061618, 186337751, 176745812, 532448509, 173425885, 64870243, 2783093, 291853867, 572649, 453614415, 25, 49.5
329997133, 189575456, 180947909, 532998591, 172128729, 65553028, 2582080, 305106214, 458711, 486057139, 26, 49.5
329027605, 192814841, 177653244, 526731194, 171934196, 64997136, 2655924, 318517050, 440668, 485339411, 27, 49.5
314039587, 339988843, 229906169, 644520517, 175118503, 67249873, 2674505, 289636382, 475694, 518723637, 28, 49.5
323248980, 200996926, 181128190, 550000866, 175559856, 63432695, 2823619, 270385824, 333466, 436085606, 29, 49.5
332314114, 200119267, 187509501, 551890998, 174310048, 63068523, 2676770, 255022863, 370616, 398211075, 30, 49.5
312138880, 205317717, 189904910, 526748296, 169758221, 67875873, 2542390, 253828447, 367293, 443734490, 31, 49.5
335454839, 245531929, 202761684, 562455684, 163557780, 62531404, 2621232, 254060028, 463396, 453089938, 32, 49.5
322459891, 224941398, 222820043, 528347781, 169133259, 61105925, 2438993, 250169683, 380984, 454171509, 33, 49.5
340446853, 235822014, 221434159, 570783336, 207810364, 60214094, 2796470, 281530412, 421126, 497066171, 34, 49.5
352947345, 230949964, 224246741, 595687952, 211598718, 57910085, 2267801, 253477119, 491971, 467959098, 35, 49.5
339967963, 242016700, 215536202, 646047810, 212888021, 95112691, 2730127, 311411723, 424429, 508472680, 36, 49.5
338644785, 242100213, 235920109, 578204957, 217143415, 56153218, 2718995, 259582100, 568724, 480486345, 37, 49.5
356823595, 243269567, 240799088, 598191597, 219183726, 59111733, 2512980, 243379391, 318678, 464878763, 38, 49.5
359639006, 260227514, 239348077, 677247605, 217075836, 69046581, 2355746, 245109417, 446305, 476587134, 39, 49.5
670210422, 26107812, 60972861, 778334129, 1555, 81891807, 1232495, 175519579, 124128, 236494411, 1, 9.9
267390802, 17685889, 53419696, 365973737, 96702880, 84880480, 1735813, 168401623, 111330, 315970939, 2, 9.9
297755311, 20837748, 58803263, 388130741, 98670890, 73192759, 2327836, 163655765, 209418, 300257040, 3, 9.9
165347807, 61917836, 47984346, 260176437, 77696541, 67422629, 1888090, 168260980, 155652, 258581288, 4, 9.9
141717345, 64745265, 50814989, 259473044, 73231744, 62234447, 2288265, 183486853, 173531, 298722316, 5, 9.9
197903338, 62907425, 57494001, 313032611, 72582905, 58093937, 2662994, 156931604, 255902, 285611189, 6, 9.9
168506122, 63696546, 54444056, 256826118, 67977628, 54338680, 2703376, 171743361, 212397, 285779693, 7, 9.9
143114499, 66011431, 54083417, 254949669, 65071972, 50998581, 3062603, 191292949, 314150, 254927153, 8, 9.9
131409685, 78526321, 70544414, 250699643, 64835292, 49827229, 2158734, 177449065, 243693, 311472355, 9, 9.9
132599280, 68427924, 66094587, 246916565, 70112529, 47921132, 2045021, 187768067, 246776, 323976964, 10, 9.9
150826643, 239399827, 78113785, 376695001, 96622235, 46328648, 2355736, 182077023, 152113, 272850751, 11, 9.9
178747914, 120982221, 106731416, 338891315, 103934365, 45457448, 1968186, 156103032, 352103, 262783095, 12, 9.9
168050215, 127626813, 115077044, 315087723, 109484365, 44512094, 2079810, 181727684, 291251, 294795754, 13, 9.9
168520545, 130759330, 119837688, 340214400, 104800845, 42199050, 2153037, 162503431, 312343, 281512412, 14, 9.9
180868307, 124682142, 111624174, 303206130, 108177697, 40237275, 2713293, 166520053, 280021, 267152742, 15, 9.9
175890651, 133830793, 128013855, 321316827, 109471031, 40309426, 2169489, 151512850, 298020, 274021229, 16, 9.9
182420782, 125463275, 125304367, 342627439, 110291531, 39081118, 2176951, 148981218, 333247, 268990607, 17, 9.9
181978617, 146204211, 130909912, 355027208, 116278591, 38276689, 2711065, 154719816, 332106, 301906401, 18, 9.9
182027977, 149408157, 142362006, 363104937, 109838372, 37867498, 2049837, 158588969, 404595, 306613759, 19, 9.9
176025991, 135404228, 126211515, 338084716, 109503790, 35666565, 1985238, 154836951, 464785, 288852319, 20, 9.9
172359421, 131829846, 130145124, 328362260, 110265314, 48221508, 2388399, 127724743, 518913, 285066586, 21, 9.9
188218624, 154154917, 133093187, 330012586, 2764, 32503265, 1610927, 162170245, 310863, 272954472, 22, 9.9
222028466, 177004812, 168213309, 390756582, 150160106, 31614255, 2180385, 129634452, 455842, 356772523, 23, 9.9
232481904, 174666459, 171893148, 405662507, 159971868, 30748627, 1579180, 140933077, 272351, 358223063, 24, 9.9
209652158, 178840149, 174072099, 383194673, 152077557, 30220469, 2235033, 133445566, 306777, 304614069, 25, 9.9
215451410, 182699009, 171799669, 389782543, 158490895, 29420623, 1990798, 153976676, 609731, 322293761, 26, 9.9
217708603, 180989181, 174178841, 385013500, 161522028, 30530940, 2355176, 132810630, 348954, 306991442, 27, 9.9
210842279, 193905676, 173507928, 405324211, 157915960, 28385875, 2099261, 141172607, 428223, 303450750, 28, 9.9
210155054, 192947451, 182078377, 403094721, 155993875, 27939368, 1486938, 143545551, 433759, 325623273, 29, 9.9
219670245, 195293805, 175853679, 431117614, 164014987, 28954005, 1788327, 138860349, 439689, 294606904, 30, 9.9
223824790, 211301911, 195415836, 452108228, 160133620, 36911753, 1539772, 166733621, 459741, 331906036, 31, 9.9
234354895, 193658270, 182984927, 449178485, 148919124, 27555750, 1654954, 152513569, 368404, 333374066, 32, 9.9
232326754, 222939992, 202953238, 452127000, 3134, 26275710, 1820419, 157620413, 516693, 358636383, 33, 9.9
263374718, 236443492, 226051455, 484525141, 194891932, 24937077, 1314796, 162623233, 458062, 437321200, 34, 9.9
252976295, 243284807, 232791890, 491025355, 200400521, 28243538, 2016864, 157582113, 397185, 451035225, 35, 9.9
